id;adresse_email;code_statut;date_statut;code_usage_email
1;boggle reluctantly quirkily;cannibalise sick;2025-08-21;ew yuck
2;overconfidently probe;obediently fatal;2025-08-22;ick boo
3;yippee untimely athletic;hoick;2025-08-22;beside short
4;glorious kindheartedly;though breed;2025-08-22;make fedora aboard
5;upon;scarcely;2025-08-22;hmph who aside
6;collaborate;and;2025-08-22;than lest patroller
7;simple knife circle;but;2025-08-21;whopping
8;whoa reference;egg;2025-08-21;tremendously ceramic brr
9;via pluck;shameless likewise;2025-08-21;helplessly through
10;sleepily that interestingly;excess factorise save;2025-08-22;below wherever
