id;code_groupe_assures;code_groupe_population;type_groupe_assures;date_debut_periode_groupe_assures;libelle_groupe_assures_type_autre;code_etat_groupe_assures
1;oof anenst;structure but;reassuringly winged;2025-08-21;populist;per experience
2;broadly;butter appropriate;yowza ew;2025-08-22;gee than ugh;sour readily video
3;sightseeing;instead;actually;2025-08-22;atop typewriter;glum
4;deeply state continually;nervously tomorrow;slime astride even;2025-08-22;toward individual besides;wallaby considering
5;resort;from along;petal pish;2025-08-21;opposite;hm
6;towards pish;unless decouple;ick knickers suspiciously;2025-08-22;amid inveigle;yippee mortise jagged
7;inasmuch;override;whoever below nun;2025-08-22;rally barring;outgoing
8;laughter;nor hence;ouch expansion;2025-08-22;until;enhance knickers overfeed
9;conclude excluding sup;innocently round;above;2025-08-21;modulo miskey among;solemnly wildly wasteful
10;pro sneak underplay;rightfully smoothly pleased;yum nice pace;2025-08-22;till whoever barring;meal neaten
