id;numero_operation_niveau_0;etat_operation;date_effet_operation;date_demande_operation;date_creation;code_acte_gestion;numero_operation_annulee
1;past following gee;antelope;2025-08-21;2025-08-22;2025-08-21;responsible;lazily though aw
2;clearly how;angrily lively drag;2025-08-21;2025-08-21;2025-08-21;e-mail;giant
3;boulevard honorable;except;2025-08-21;2025-08-22;2025-08-22;hello hole chime;creative
4;yum for godparent;after vice wherever;2025-08-21;2025-08-21;2025-08-22;soup freely pale;via self-reliant for
5;opposite;needily accredit;2025-08-21;2025-08-21;2025-08-22;as;openly than
6;now;outside restfully since;2025-08-21;2025-08-22;2025-08-22;without symbolise cross-contamination;whose pish
7;ugh;whether kosher;2025-08-21;2025-08-22;2025-08-22;who where gradient;lest ah below
8;surprisingly monthly meanwhile;evenly gosh who;2025-08-22;2025-08-21;2025-08-21;ha;ouch male gadzooks
9;gorgeous;ick;2025-08-22;2025-08-21;2025-08-22;cow rule lazy;boohoo within
10;dual minty acknowledge;whose serene programme;2025-08-21;2025-08-22;2025-08-21;fooey;among
