id;code_produit;date_adhesion_produit;date_radiation_produit;code_formule;code_famille_risque_formule;titre_formule;type_formule;code_etat
1;unfortunately;2025-08-21;2025-08-22;paltry thankfully or;foolhardy shakily nervous;phew tackle recovery;upliftingly;redraw eek typewriter
2;what;2025-08-22;2025-08-21;plus;oof duh;ack towards;with but shovel;debut glorious mid
3;possession;2025-08-21;2025-08-21;fooey;gripper optimistic by;oof;that;procrastinate carelessly
4;absent oddly happily;2025-08-22;2025-08-22;vaguely;magnetize adventurously;eternity whoever;unwieldy whose;for unless apparatus
5;psst evil loudly;2025-08-22;2025-08-22;qua decision but;deer uh-huh formation;consequently lively usable;sediment;fooey jovially pale
6;meh inasmuch;2025-08-21;2025-08-21;towards bitterly;and afore sting;reproachfully rigidly every;excluding instead;within meanwhile
7;waver zowie whereas;2025-08-21;2025-08-22;qua underneath worth;train suddenly colligate;qua;potentially;cruel scarification
8;supposing through provided;2025-08-21;2025-08-21;surprise bah curly;wherever instead;represent until;self-reliant;broken when
9;gadzooks;2025-08-22;2025-08-22;uh-huh honorable;powerful skeletal yahoo;by through but;whoa;impanel sizzling
10;duh whoa atop;2025-08-22;2025-08-21;jumbo;guilty confused drat;including save furiously;yet dimly indeed;thankfully cuckoo
