id;code_variable_declarative;unite_variable_declarative;valeur_facteur_montant;valeur_facteur_taux
1;abaft;meh perfectly bleakly;amidst;gah
2;boastfully;engender kiss patiently;supposing amount knowledgeably;fatally
3;yippee upon;or past though;lest;after confusion futon
4;jot disloyal encouragement;whack blah generously;failing;manipulate worth boastfully
5;emphasise overcook;but tepid enthusiastically;wolf so;past
6;nectarine hunt swanling;pearl nimble blaring;gosh doubtfully;so christen
7;unless obesity;given;kick optimistically;off aside
8;hyena meanwhile furthermore;which;petty overdue;anti which
9;uh-huh;ick vibrant;arrogantly;entice over
10;despite per;zowie;garrote even hubris;colossal aw incidentally
