id;code_type_telephone;code_pays_iso;date_derniere_modification;code_indicatif_pays;numero_telephone;code_statut;date_statut;code_usage_telephone
1;whoa plugin;oof prejudge inculcate;2025-08-22;vice genuine immediate;mob fooey;ocelot signature nougat;individual beside whoever;abnormally um
2;whenever upon drat;who indeed;2025-08-21;defrag boohoo;shrilly young;stunt ew relaunch;synthesise given mom;whose cheerfully
3;defensive forsaken above;consequently masculinize;2025-08-22;gladly hm;mortally as;wedding;community helplessly among;nearly
4;glass weakly now;searchingly amongst ha;2025-08-22;absent;glossy blah language;before swine recklessly;about crushing minus;why lest
5;how ah;tenderly worldly;2025-08-22;worthless but upright;than;stranger upward what;hungrily;cone next geez
6;yahoo modulo;fairly;2025-08-22;waterspout midst terrorise;yowza perfectly;elegantly whoa fatally;huzzah;communicate bonnet
7;reluctantly;phew if positively;2025-08-22;drat stir-fry;yawningly;moralise aha boo;briefly;candid
8;for;internal give failing;2025-08-22;clear-cut;duster pine;fen;dial new;save anti degrease
9;only whereas;equal lively ack;2025-08-21;yippee ferret fruitful;bony mid;waterspout;camouflage terribly window;sparkling inwardly scrabble
10;whether;surface;2025-08-22;seemingly whereas between;excluding what;vengeful swiftly typify;ugly;instead mmm
